id,name,host+AF8-id,host+AF8-name,neighbourhood+AF8-group,neighbourhood,latitude,longitude,room+AF8-type,price,minimum+AF8-nights,number+AF8-of+AF8-reviews,last+AF8-review,reviews+AF8-per+AF8-month,calculated+AF8-host+AF8-listings+AF8-count,availability+AF8-365
2818,Quiet Garden View Room +ACY- Super Fast WiFi,3159,Daniel,,Oostelijk Havengebied +AC0- Indische Buurt,52.3657545139,4.9414192352,Private room,59,3,248,2018+AC0-11+AC0-28,2.1,1,44
3209,Quiet apt near center+ADs- great view,3806,Maartje,,Westerpark,52.3902250504,4.8739240947,Entire home/apt,160,4,42,2018+AC0-08+AC0-29,1.03,1,47
20168,100+ACU-Centre+AC0-Studio 1 Private Floor/Bathroom,59484,Alex,,Centrum+AC0-Oost,52.3650870268,4.8935410078,Entire home/apt,80,1,233,2018+AC0-11+AC0-30,2.18,2,198
25428,Lovely apt in City Centre (Jordaan),56142,Joan,,Centrum+AC0-West,52.3731144004,4.8836681962,Entire home/apt,125,14,1,2018+AC0-01+AC0-21,0.09,2,141
27886,Romantic+ADs- stylish B+ACY-B houseboat in canal district,97647,Flip,,Centrum+AC0-West,52.3867273161,4.8920780701,Private room,150,2,171,2018+AC0-11+AC0-25,2.03,1,199
28658,Cosy guest room near city centre +AC0-1,123414,Michele,,Bos en Lommer,52.3753421775,4.8572893502,Private room,65,3,434,2018+AC0-11+AC0-19,4.16,2,295
28871,Comfortable double room,124245,Edwin,,Centrum+AC0-West,52.3671868082,4.8909177971,Private room,75,2,215,2018+AC0-12+AC0-03,2.13,3,137
29051,Comfortable single room,124245,Edwin,,Centrum+AC0-West,52.3677254104,4.8915117372,Private room,55,2,383,2018+AC0-12+AC0-05,4.07,3,188
31080,2+AC0-story apartment  rooftop terrace,133488,Nienke,,Zuid,52.3513205419,4.8483828994,Entire home/apt,219,3,32,2017+AC0-10+AC0-16,0.36,1,336
41125,Amsterdam Center Entire Apartment,178515,Fatih,,Centrum+AC0-West,52.37891477,4.8832050565,Entire home/apt,180,3,76,2018+AC0-10+AC0-07,0.78,1,11
42970,Comfortable room+AEA-PERFECT location  2 bikes,187580,Micha,,Centrum+AC0-West,52.3678144759,4.8900120234,Private room,159,3,426,2018+AC0-11+AC0-24,4.24,2,89
43980,View into park / museum district (long/short stay),65041,Ym,,Zuid,52.3574562838,4.8612420854,Entire home/apt,100,28,61,2018+AC0-02+AC0-18,0.62,2,10
44129,Luxury design with canal view,187728,Tanya,,Centrum+AC0-West,52.3807112298,4.8861043181,Entire home/apt,250,2,176,2018+AC0-10+AC0-01,1.74,4,16
44391,Amsterdam Centre+ADs- 3+AC0-room Apartment,194779,Jan,,Centrum+AC0-Oost,52.3701699864,4.9143778268,Entire home/apt,200,3,31,2018+AC0-11+AC0-18,0.31,1,0
45246,Cozy Flat in the Jordaan (center),200188,George,,Westerpark,52.3776763966,4.876178649,Entire home/apt,155,3,79,2018+AC0-10+AC0-21,0.79,1,253
46386,Cozy loft in central Amsterdam,207342,Joost,,De Pijp +AC0- Rivierenbuurt,52.3524702593,4.9082544403,Entire home/apt,150,3,3,2018+AC0-01+AC0-03,0.03,1,0
47061,Charming apartment in old centre,211696,Ivar,,De Baarsjes +AC0- Oud+AC0-West,52.3679860989,4.8744693319,Entire home/apt,140,2,167,2018+AC0-11+AC0-03,1.67,1,0
48076,Amsterdam Central and lot of space,219080,Franklin,,Centrum+AC0-West,52.3804200178,4.8945347351,Entire home/apt,350,5,159,2018+AC0-12+AC0-04,1.82,2,276
49790,Luxurous Houseboat+AC0-Great Location,227530,Klaas,,De Baarsjes +AC0- Oud+AC0-West,52.3626637861,4.86103174,Entire home/apt,225,3,98,2018+AC0-11+AC0-18,1.06,1,296
50515,Family Home (No drugs+ADs- smoking or parties),231864,Karin,,Bos en Lommer,52.3772723983,4.8392525629,Entire home/apt,120,3,12,2018+AC0-08+AC0-24,0.21,1,79
50518,Perfect central Amsterdam apartment,231806,Nikki,,Westerpark,52.3820061316,4.8786496213,Entire home/apt,125,1,91,2018+AC0-11+AC0-18,1.22,1,0
50523,B +ACY- B de 9 Straatjes (city center),231946,Raymond,,Centrum+AC0-West,52.3684078977,4.884133705,Private room,115,2,213,2018+AC0-11+AC0-21,2.21,1,206
50570,Bright Apartment +AC0- residential area,232321,Evert,,Bos en Lommer,52.3777374417,4.8489119914,Entire home/apt,90,4,152,2018+AC0-08+AC0-25,1.62,2,19
52490,Amsterdam Aqua,185836,VictorLuke,,Oostelijk Havengebied +AC0- Indische Buurt,52.3700458927,4.9386912362,Private room,72,3,81,2018+AC0-11+AC0-25,0.82,1,11
53067,Green studio at the attic of a townhouse,246493,Studio,,De Pijp +AC0- Rivierenbuurt,52.3533926687,4.900637643,Private room,87,1,333,2018+AC0-12+AC0-02,3.4,5,2
53671,Nice room near centre with en suite bath,247822,Georg,,Westerpark,52.3890533711,4.8855885351,Private room,75,3,261,2018+AC0-12+AC0-02,2.8,1,289
53692,Large quiet Studio with gardenview in hip area.,246493,Studio,,De Pijp +AC0- Rivierenbuurt,52.3534831557,4.9004901715,Private room,60,3,219,2018+AC0-06+AC0-22,2.4,5,47
55256,Luminous centric room,260785,Lotte,,Centrum+AC0-Oost,52.3712568889,4.9035131451,Private room,86,1,120,2018+AC0-11+AC0-25,1.26,1,129
55703,groundfloor apartment with patio,263214,Arjan,,Bos en Lommer,52.3756081603,4.8581874675,Entire home/apt,250,3,3,2016+AC0-10+AC0-19,0.07,1,0
55709,Bright Loft in Centre Amsterdam,263233,Jan+AC0-Willem,,Centrum+AC0-Oost,52.3589564963,4.897259341,Entire home/apt,159,5,53,2018+AC0-10+AC0-15,0.54,1,32
55807,Greatly located+ADs- cozy atmosphere,263844,Rai +ACY- Clo,,De Baarsjes +AC0- Oud+AC0-West,52.3696570806,4.8620254266,Private room,60,2,150,2018+AC0-06+AC0-08,1.53,1,122
55868,Apartment near Museumplein (centre),264178,Cornelie,,Zuid,52.3561329758,4.8851495467,Entire home/apt,149,4,88,2018+AC0-08+AC0-13,0.91,1,107
56879,86 m2+ADs- city centre +ACY- lovely view,270282,Linda +ACY- Theo,,Centrum+AC0-West,52.3845333472,4.8925454317,Entire home/apt,112,28,1,2012+AC0-07+AC0-27,0.01,1,277
57408,Very Bright +ACY- Spacious Apt  4 Bikes,273329,Bart,,Oostelijk Havengebied +AC0- Indische Buurt,52.3619297889,4.9364009572,Entire home/apt,100,4,420,2017+AC0-09+AC0-30,4.29,2,5
57978,Still cosy X Mas availability+ACE-,276959,Elisabeth,,De Baarsjes +AC0- Oud+AC0-West,52.364481568,4.8772205545,Entire home/apt,125,3,145,2018+AC0-06+AC0-18,1.48,1,315
58211,En Suite accommodation in a monumental canal house,278253,Marcel,,Centrum+AC0-West,52.3691647917,4.8844453448,Private room,225,3,82,2018+AC0-10+AC0-29,1.05,2,212
62015,Charming+ADs- beautifully +ACY- sunny place,301340,Jessica,,Oud+AC0-Oost,52.3644527215,4.9312359305,Entire home/apt,109,2,21,2018+AC0-10+AC0-21,0.22,1,30
62801,Very nice appartment ALL of januari,306117,Jan,,Bos en Lommer,52.3845868299,4.8546265131,Entire home/apt,750,30,0,,,1,364
64736,Luxury Houseboat,306192,Conny,,De Baarsjes +AC0- Oud+AC0-West,52.3634813061,4.8678339776,Entire home/apt,145,4,92,2018+AC0-07+AC0-30,1.43,1,0
64769,Unique 3 bedroom house in Centre,312863,Marijntje,,Centrum+AC0-Oost,52.3622538413,4.9019993444,Entire home/apt,450,4,26,2018+AC0-08+AC0-04,0.28,1,72
65230,Juwelier,213960,Riek,,Centrum+AC0-West,52.3687130414,4.8928433896,Entire home/apt,179,3,83,2018+AC0-01+AC0-19,0.91,1,358
67841,Amsterdam +AC0- The Pijp Apartment 1A,335166,Dene,,De Pijp +AC0- Rivierenbuurt,52.3547248279,4.8932375434,Entire home/apt,100,3,9,2018+AC0-07+AC0-25,0.14,2,29
68290,Rebel / Private Room,336950,Manuel,,Centrum+AC0-West,52.3688707797,4.8952338913,Private room,109,1,574,2018+AC0-11+AC0-29,6.1,3,158
68873,Yves Klein / Private Room,336950,Manuel,,Centrum+AC0-West,52.3695006383,4.89555971,Private room,109,1,527,2018+AC0-11+AC0-25,5.56,3,163
69042,Cozy Studio +AHwAfA- Located at the canal+ACE-,344312,Kjetil,,Centrum+AC0-West,52.3735271992,4.8769059738,Private room,116,3,131,2018+AC0-12+AC0-03,1.41,2,7
73208,Centre Museum Quarter Apt Roof Deck,381900,Vikki,,Zuid,52.3593509829,4.8767215557,Entire home/apt,220,5,58,2018+AC0-07+AC0-30,0.62,1,3
73917,B28 Unique Houseboat  Herengracht,387205,Edwin,,Centrum+AC0-West,52.378942804,4.8906019962,Entire home/apt,175,3,82,2018+AC0-08+AC0-05,1.22,1,320
74367,Dutch designer canal house apartment (city centre),391075,Ruben,,Centrum+AC0-West,52.374795536,4.8804464713,Entire home/apt,260,7,10,2011+AC0-11+AC0-09,0.11,1,304
75382,Garden Suite Studiohttps://www.airbnb.com/manage+AC0-l,399879,Tina,,Oud+AC0-Oost,52.3648248856,4.9276155489,Private room,105,3,178,2018+AC0-11+AC0-30,1.93,3,84
75444,Cottage Room+AC0- Completely Private,399879,Tina,,Oud+AC0-Oost,52.365509785,4.9284807037,Private room,70,3,246,2018+AC0-11+AC0-26,2.69,3,47
76668,studio INN+ADs- bright and spacious,409579,Guido,,Westerpark,52.3889757759,4.8904320783,Private room,135,2,39,2018+AC0-12+AC0-02,1.31,1,237
80634,Amazing location +AC0- canalhouse room,436145,Riks,,Centrum+AC0-West,52.3797564855,4.8939773737,Private room,180,2,115,2018+AC0-12+AC0-03,1.92,5,28
80635,TOP LOCATED Canalhouse B+ACY-B Jordaan,436145,Riks,,Centrum+AC0-West,52.3787585417,4.8926359366,Private room,115,2,158,2018+AC0-12+AC0-03,1.68,5,29
82482,The Backroom +AC0- Central private appt,186729,Shawna,,Centrum+AC0-West,52.3702597334,4.8800301947,Entire home/apt,95,1,695,2018+AC0-12+AC0-02,7.64,1,191
82748,Bright apt in central Amsterdam,450453,Rudolf,,Centrum+AC0-West,52.3730739302,4.8934315752,Entire home/apt,249,3,116,2018+AC0-07+AC0-26,1.24,2,280
83498,Single attic room for one person only,124245,Edwin,,Centrum+AC0-West,52.3672276348,4.8912353178,Private room,45,2,403,2018+AC0-12+AC0-04,6.96,3,161
84057,Bed+ACY-Bike SleepOnNature +AC0- free bikes,459028,Stefania,,De Baarsjes +AC0- Oud+AC0-West,52.3648779977,4.8510959077,Private room,100,3,68,2018+AC0-11+AC0-18,0.75,5,344
91535,+ACI-Houseboat +ACIAIg-Ramona+ACIAIg- Amsterdam centre+ACI-,494281,Michiel,,De Pijp +AC0- Rivierenbuurt,52.3572538795,4.8958791453,Entire home/apt,189,3,29,2018+AC0-10+AC0-15,0.32,1,0
96048,De Baronie B+ACY-B in historic centre,510526,Tuhami,,Centrum+AC0-Oost,52.3727002322,4.9077614481,Private room,75,1,120,2018+AC0-12+AC0-02,2.57,1,340
97221,Beautiful and spacious room,195859,Gianni,,Slotervaart,52.3491034583,4.8361122441,Private room,40,2,141,2018+AC0-11+AC0-18,1.56,2,340
97476,Sunny+ADs- spacious apartment near Vondelpark,485930,Rachel,,Zuid,52.356374669,4.8657930295,Entire home/apt,115,3,46,2018+AC0-09+AC0-25,0.5,1,3
107195,A'dam Centre+ADs- Bright and Comfy,249794,Marieke,,Centrum+AC0-Oost,52.3700744733,4.9196038538,Entire home/apt,150,3,29,2018+AC0-11+AC0-04,0.33,1,0
107972,museums and music,558976,Joke,,De Baarsjes +AC0- Oud+AC0-West,52.3639715704,4.8765094266,Entire home/apt,100,3,74,2018+AC0-10+AC0-25,0.8,1,4
108890,Amsterdam at its best,563208,Jorien,,De Baarsjes +AC0- Oud+AC0-West,52.3608292543,4.8566674247,Entire home/apt,100,5,3,2018+AC0-05+AC0-30,0.15,1,0
115795,Jardin Dreams +AHw- Warm +AHw- 2 Bedrooms+AHw-Renovated+AHw-,468497,Lennart,,De Pijp +AC0- Rivierenbuurt,52.352437256,4.8959480405,Private room,165,90,106,2017+AC0-07+AC0-12,1.26,1,348
118097,all private+ADs- art +AEA- home in city center+AC0-1,538659,Wendie And Hans,,Centrum+AC0-West,52.3657053664,4.8846361903,Private room,94,4,309,2018+AC0-11+AC0-16,3.8,2,62
118117,Lovely self contained studio in Oud West,596513,Nina +ACY- Benjamin,,De Baarsjes +AC0- Oud+AC0-West,52.368883436,4.8695483309,Private room,87,3,490,2018+AC0-12+AC0-03,5.42,1,230
120872,Retro Luxury Apartment,607597,Martijn,,Bos en Lommer,52.3819317153,4.8554073208,Entire home/apt,99,2,138,2018+AC0-05+AC0-27,1.55,2,64
125425,Bohemian apartment in nice area,623749,Elwin,,Oud+AC0-Oost,52.3609745739,4.9276114602,Entire home/apt,100,3,38,2016+AC0-11+AC0-14,0.43,1,0
130390,Large private room for rent Center / De Pijp,642044,Jessy,,De Pijp +AC0- Rivierenbuurt,52.355169671,4.8896934049,Private room,80,2,29,2017+AC0-10+AC0-15,0.33,1,0
137026,Entire house with garden in De Pijp,670266,Ton +ACY- Fede,,De Pijp +AC0- Rivierenbuurt,52.3536090637,4.9056210322,Private room,259,3,87,2018+AC0-10+AC0-28,1.03,1,123
